Timestamp,Date of Birth,Gender,Age,Highest completed education level,Financial Class,Do you believe in astrology?  ,I am confident and assertive.  ,I value stability and routine in my life.  ,I am very adaptable and quick-witted.  ,I am very empathetic and compassionate towards others.  ,I love being the center of attention. ,I am very detail-oriented and analytical.  ,I value harmony and balance in my relationships.  ,I am very passionate and intense.  ,I am adventurous and love exploring new places.  ,I am very disciplined and responsible.  ,I enjoy taking risks and trying new things.  ,I am very patient and reliable.  ,I enjoy engaging in conversations and learning new things.  ,I value my home and family above all else.  ,I have a strong desire for recognition and praise.  ,I strive for perfection in everything I do.  ,I often find it difficult to make decisions.  ,I have a strong desire for control and power.  ,I can be blunt and speak my mind without thinking.  ,I have a strong desire to achieve my goals.  ,I am quick to get angry but also quick to forgive.  ,I have a strong appreciation for beauty and luxury.  ,I can be indecisive and change my mind frequently.,I can be quite moody and sensitive.  ,I enjoy organizing events and leading projects.  ,I can be overly critical of myself and others.  ,I appreciate art and beauty in my surroundings.   ,I am secretive and prefer to keep my thoughts private.  ,I enjoy learning about different cultures and philosophies.  ,I can be quite reserved and cautious.  
07/06/2024 14:46:13,22/02/2002,Female,18-24,Postgraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Yes,6,6,6,6,2,4,5,4,5,6,6,6,6,6,6,6,2,4,4,6,2,4,4,4,6,4,5,6,5,6
07/06/2024 14:46:29,31/10/2001,Male,18-24,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Yes,6,6,6,7,5,6,5,6,7,5,6,4,6,4,5,5,4,6,3,6,5,6,4,5,6,5,5,5,6,5
07/06/2024 14:56:47,01/02/2001,Male,18-24,Undergraduate Studies,Aspiring households (earn from ₹1.25 lakhs to ₹5 lakhs annually),Yes,6,5,6,5,1,7,4,4,7,3,6,5,6,7,2,5,4,6,4,6,6,1,5,2,1,5,6,7,7,6
07/06/2024 14:58:15,16/07/2001,Male,18-24,Undergraduate Studies,Destitute households (earn below ₹1.25 lakhs annually),No,3,4,4,6,5,4,6,5,6,6,6,5,4,4,5,5,7,2,2,6,6,2,6,6,5,6,4,5,5,6
07/06/2024 15:17:52,17/12/2000,Female,18-24,Postgraduate Studies,Affluent households (earn more than ₹30 lakhs annually),No,5,5,5,6,3,5,6,5,3,6,4,6,6,6,5,5,6,5,2,6,2,5,4,5,6,3,5,6,5,6
07/06/2024 15:18:30,07/10/2001,Male,18-24,Undergraduate Studies,Upper-Middle households (earn from ₹15 lakhs to ₹30 lakhs annually),Unsure,3,5,3,4,3,2,5,3,5,2,3,6,4,5,5,5,6,4,6,4,5,4,6,5,4,5,5,6,5,4
07/06/2024 15:40:23,22/11/2000,Male,18-24,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Yes,7,5,6,6,6,5,6,7,7,7,4,5,6,7,4,5,3,5,5,4,6,5,4,5,4,5,3,4,4,4
07/06/2024 15:44:11,09/10/2001,Female,18-24,Postgraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),No,5,3,6,6,1,5,7,4,5,6,4,6,7,6,3,5,6,3,4,6,4,1,5,2,6,4,6,5,6,7
07/06/2024 15:49:36,15/05/2001,Male,18-24,Postgraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),No,6,4,5,5,6,6,6,6,5,5,5,6,6,3,6,6,3,6,7,5,5,5,4,6,6,7,6,2,6,3
07/06/2024 15:58:28,20/09/2001,Female,18-24,Postgraduate Studies,Aspiring households (earn from ₹1.25 lakhs to ₹5 lakhs annually),No,5,4,2,6,3,5,6,4,4,5,3,4,6,5,6,6,6,4,2,3,4,2,4,6,5,5,5,5,6,6
07/06/2024 16:02:31,09/10/2001,Female,18-24,Postgraduate Studies,Aspiring households (earn from ₹1.25 lakhs to ₹5 lakhs annually),Yes,6,6,7,5,7,6,7,5,7,6,3,5,7,7,4,4,5,1,6,6,6,4,4,5,5,3,7,7,7,5
07/06/2024 16:22:31,12/09/2001,Female,18-24,Postgraduate Studies,Destitute households (earn below ₹1.25 lakhs annually),Yes,5,5,5,6,3,5,7,6,6,6,5,5,5,7,2,6,5,4,5,6,6,6,5,5,4,4,6,7,6,7
07/06/2024 16:38:10,25/09/2001,Female,18-24,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Unsure,4,4,5,5,7,5,6,5,7,3,7,6,6,6,7,6,7,7,7,6,7,7,7,6,6,7,6,7,6,7
07/06/2024 16:59:40,26/04/2024,Female,18-24,Postgraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Unsure,5,6,4,5,2,4,5,5,5,5,6,5,5,5,2,5,4,4,3,4,4,2,2,2,5,2,5,3,3,3
07/06/2024 17:20:55,28/05/2001,Male,18-24,Postgraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),No,6,5,5,2,7,7,3,7,6,4,6,5,7,6,7,6,7,6,4,5,1,6,3,2,7,4,6,7,4,4
07/06/2024 17:27:59,15/07/2000,Male,18-24,Postgraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Yes,3,3,6,5,1,7,5,6,1,5,6,6,6,4,6,7,2,5,7,7,7,3,2,5,7,7,6,5,4,6
07/06/2024 17:34:48,05/06/2001,Female,18-24,Postgraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Yes,5,5,5,6,4,6,7,5,6,6,6,6,7,7,7,5,6,5,6,6,6,6,3,4,6,6,7,6,6,7
07/06/2024 17:35:45,25/11/2000,Male,25-34,Undergraduate Studies,Aspiring households (earn from ₹1.25 lakhs to ₹5 lakhs annually),Unsure,6,6,7,6,7,6,5,6,6,6,5,6,7,6,7,6,3,6,4,6,5,7,3,6,6,6,6,5,7,7
07/06/2024 18:16:49,20/04/2001,Male,18-24,Undergraduate Studies,Affluent households (earn more than ₹30 lakhs annually),No,7,5,6,5,4,4,5,4,3,4,5,6,6,6,4,5,2,6,6,5,5,6,6,6,6,6,6,5,2,5
07/06/2024 18:30:09,09/04/2002,Female,18-24,Postgraduate Studies,Destitute households (earn below ₹1.25 lakhs annually),Yes,4,6,5,5,1,4,5,5,7,5,1,4,1,7,4,4,7,1,4,7,7,5,5,7,7,5,7,7,7,4
07/06/2024 18:32:30,09/01/2001,Female,18-24,Undergraduate Studies,Upper-Middle households (earn from ₹15 lakhs to ₹30 lakhs annually),No,4,5,4,7,4,5,5,5,7,5,5,4,6,4,5,5,5,3,2,5,3,5,5,6,6,4,7,4,5,4
07/06/2024 20:03:51,25/09/2001,Male,18-24,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Yes,3,6,7,6,1,6,5,4,4,7,3,6,5,6,2,6,6,2,2,5,4,4,6,5,6,5,4,7,6,7
07/06/2024 21:00:44,24/07/2004,Male,18-24,Pre-University,Aspiring households (earn from ₹1.25 lakhs to ₹5 lakhs annually),Yes,3,5,6,6,2,4,6,4,6,5,6,6,6,7,3,3,5,2,7,7,6,6,3,2,4,4,7,7,7,6
07/06/2024 22:20:14,02/08/2000,Male,18-24,Postgraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Yes,6,7,6,6,4,5,5,7,6,1,6,5,6,7,6,5,6,5,1,7,4,2,2,1,6,4,6,7,3,7
07/06/2024 22:52:30,27/08/2003,Male,18-24,High School,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Yes,5,5,4,6,7,5,6,6,5,6,6,7,7,7,5,7,6,5,7,6,7,7,5,1,5,5,6,5,5,6
07/06/2024 23:15:29,22/08/1996,Male,25-34,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Unsure,2,2,4,6,2,5,6,5,6,4,5,6,6,5,2,5,2,2,2,2,4,3,2,2,1,6,5,6,6,6
07/06/2024 23:57:11,14/03/2001,Male,18-24,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Unsure,6,6,5,6,1,4,7,7,5,6,6,6,6,7,6,5,6,5,2,5,6,4,2,5,4,5,5,4,3,5
08/06/2024 00:03:39,08/05/2001,Female,18-24,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Unsure,3,4,6,6,1,4,7,6,6,4,3,6,5,5,3,5,5,2,5,4,4,4,5,5,4,5,6,4,3,5
08/06/2024 01:09:16,03/01/2002,Male,18-24,Undergraduate Studies,Aspiring households (earn from ₹1.25 lakhs to ₹5 lakhs annually),No,6,6,7,7,5,6,7,6,6,5,5,6,7,7,7,7,6,3,7,5,6,6,6,7,3,6,5,7,7,7
08/06/2024 02:47:11,06/04/2001,Female,18-24,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Unsure,3,6,3,6,2,4,6,3,4,5,2,5,3,5,6,5,6,3,2,6,2,4,3,4,2,5,6,6,7,6
08/06/2024 02:58:55,04/02/2001,Male,18-24,Postgraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),No,4,7,5,6,1,6,7,6,3,4,4,5,6,7,6,6,5,6,4,4,6,5,6,5,1,6,6,3,5,4
08/06/2024 03:08:26,10/11/2000,Male,18-24,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),No,4,7,5,3,2,5,5,4,5,6,1,1,3,7,5,5,6,5,7,5,7,4,7,3,1,7,5,4,5,7
08/06/2024 03:17:48,25/07/1994,Female,25-34,Postgraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),No,6,6,6,6,5,7,7,6,7,7,6,7,7,7,4,6,2,3,6,7,7,5,4,3,6,5,6,6,4,6
08/06/2024 03:29:53,08/06/2001,Male,18-24,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),No,6,6,5,6,1,2,4,4,7,4,5,4,6,6,6,5,4,3,5,5,6,4,5,4,7,4,7,5,5,5
08/06/2024 03:50:55,02/04/2001,Male,18-24,Postgraduate Studies,Affluent households (earn more than ₹30 lakhs annually),Unsure,6,7,7,4,1,4,7,7,7,7,5,6,5,7,5,7,4,4,2,6,7,7,1,6,5,6,7,7,7,7
08/06/2024 04:20:59,24/09/2000,Female,18-24,Undergraduate Studies,Aspiring households (earn from ₹1.25 lakhs to ₹5 lakhs annually),Unsure,6,6,6,5,5,6,5,5,6,5,6,5,6,6,5,4,4,5,2,6,5,2,5,5,5,3,6,6,7,4
08/06/2024 05:13:03,07/09/2001,Female,18-24,Undergraduate Studies,Affluent households (earn more than ₹30 lakhs annually),Yes,4,6,7,7,4,6,7,7,6,6,6,7,7,7,4,7,7,4,5,7,5,5,5,7,7,4,7,7,7,3
08/06/2024 05:15:06,08/09/2001,Male,18-24,Postgraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),No,5,6,7,6,3,6,6,6,4,3,5,5,7,6,6,7,5,6,6,6,5,4,3,4,5,6,7,6,7,5
08/06/2024 05:34:38,25/05/2002,Male,18-24,Postgraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Unsure,5,4,4,4,5,4,5,4,6,4,4,4,4,6,6,6,4,4,5,5,6,4,4,4,4,4,5,4,4,4
08/06/2024 05:50:33,25/09/2000,Male,18-24,Undergraduate Studies,Upper-Middle households (earn from ₹15 lakhs to ₹30 lakhs annually),No,6,3,6,6,1,5,7,6,6,6,5,7,7,3,3,2,3,1,1,6,1,6,3,1,5,6,7,5,7,5
08/06/2024 06:25:51,26/09/2002,Female,18-24,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),No,5,5,2,6,3,4,7,6,5,7,1,6,7,7,7,7,7,6,2,7,6,1,6,7,4,7,6,7,6,6
08/06/2024 06:36:46,01/03/2001,Female,18-24,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Yes,7,7,7,7,6,6,6,6,7,6,4,6,5,7,5,6,3,5,5,7,7,5,5,6,7,5,7,7,7,7
08/06/2024 06:41:37,22/08/2001,Female,18-24,Postgraduate Studies,Aspiring households (earn from ₹1.25 lakhs to ₹5 lakhs annually),No,7,7,6,7,4,6,7,7,6,7,6,6,6,7,4,7,3,1,7,7,7,3,7,4,6,7,7,6,7,7
08/06/2024 07:20:52,14/02/2002,Female,18-24,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),No,4,4,5,7,2,4,5,4,5,3,3,2,3,6,4,4,5,4,5,4,5,2,6,7,2,6,5,6,5,6
08/06/2024 08:14:13,05/08/2001,Male,18-24,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),No,5,6,7,6,2,6,7,6,7,4,6,7,7,5,5,3,4,4,3,4,1,6,1,1,6,4,7,3,7,5
08/06/2024 08:35:59,18/05/2001,Female,18-24,Postgraduate Studies,Aspiring households (earn from ₹1.25 lakhs to ₹5 lakhs annually),Unsure,6,6,5,5,5,6,5,5,6,5,6,5,5,5,5,5,4,3,4,6,5,3,4,4,4,4,4,5,4,5
08/06/2024 13:54:09,07/11/1998,Female,25-34,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),No,6,7,6,6,1,7,7,6,7,7,6,6,6,7,2,6,6,1,1,7,4,1,2,6,7,1,6,6,5,5
08/06/2024 15:08:13,22/10/2001,Female,18-24,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Yes,5,4,4,6,3,5,7,5,7,5,6,4,7,6,4,5,4,3,6,6,7,6,5,5,6,4,6,4,7,5
08/06/2024 16:33:21,26/09/2024,Male,25-34,Postgraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),No,4,5,5,7,5,4,7,5,5,3,5,6,7,6,4,4,6,5,4,5,6,5,7,5,5,7,5,3,7,7
08/06/2024 16:56:35,19/10/2001,Male,18-24,Pre-University,Aspiring households (earn from ₹1.25 lakhs to ₹5 lakhs annually),No,6,6,6,4,2,6,6,6,7,6,7,6,6,5,3,6,3,7,6,6,6,2,6,3,5,7,7,7,7,7
08/06/2024 17:16:25,24/03/2001,Male,18-24,Postgraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Yes,7,7,6,7,7,6,6,7,7,6,6,7,7,7,7,7,6,7,7,7,6,5,7,6,7,7,7,7,7,7
08/06/2024 17:20:33,22/11/2001,Female,18-24,Postgraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),No,6,6,4,4,4,4,5,5,6,5,7,6,6,7,5,5,4,4,4,5,4,4,4,5,5,5,5,5,6,6
08/06/2024 17:24:08,18/08/2001,Female,18-24,Postgraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),No,6,6,7,7,2,6,7,6,7,5,7,6,7,7,6,5,6,7,5,6,6,5,5,5,6,5,7,7,6,5
08/06/2024 17:26:49,06/04/2001,Male,18-24,Undergraduate Studies,Upper-Middle households (earn from ₹15 lakhs to ₹30 lakhs annually),No,5,4,6,5,3,5,5,5,4,4,4,5,4,5,5,6,4,4,4,5,5,3,4,5,5,6,5,5,5,5
08/06/2024 17:28:39,02/05/2001,Male,18-24,Postgraduate Studies,Destitute households (earn below ₹1.25 lakhs annually),No,5,6,7,7,5,7,6,6,7,5,7,6,6,7,4,5,5,3,3,7,7,5,5,5,6,7,5,7,5,7
08/06/2024 17:32:43,26/03/2001,Female,18-24,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Unsure,6,6,6,6,6,5,6,5,7,6,5,6,7,7,6,6,6,6,6,7,6,5,5,5,6,6,6,6,6,5
08/06/2024 17:40:02,15/11/2000,Female,18-24,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Unsure,6,7,6,7,4,6,7,6,6,6,5,6,7,7,7,7,6,6,7,7,6,5,5,7,7,7,7,7,7,7
08/06/2024 17:43:38,15/11/1998,Male,25-34,Postgraduate Studies,Upper-Middle households (earn from ₹15 lakhs to ₹30 lakhs annually),Yes,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
08/06/2024 17:55:20,04/04/2001,Male,18-24,Postgraduate Studies,Aspiring households (earn from ₹1.25 lakhs to ₹5 lakhs annually),Unsure,6,7,5,5,3,6,5,5,5,4,5,5,7,6,4,6,2,4,3,7,4,2,3,2,7,5,4,6,5,4
08/06/2024 17:56:37,12/08/1998,Male,25-34,Undergraduate Studies,Destitute households (earn below ₹1.25 lakhs annually),Unsure,4,5,6,7,2,4,6,6,7,5,3,7,2,7,7,6,6,2,1,7,4,2,3,3,1,3,4,7,6,7
08/06/2024 18:12:22,16/05/2005,Female,18-24,Undergraduate Studies,Upper-Middle households (earn from ₹15 lakhs to ₹30 lakhs annually),No,7,4,4,2,3,6,7,7,7,3,7,2,7,6,7,2,2,7,5,7,2,6,2,3,7,6,7,5,6,6
08/06/2024 18:44:19,05/06/2001,Female,18-24,Postgraduate Studies,Aspiring households (earn from ₹1.25 lakhs to ₹5 lakhs annually),No,6,5,6,7,3,6,7,6,7,7,5,5,6,7,4,6,4,4,3,7,6,4,4,5,6,4,6,5,6,5
08/06/2024 19:16:49,14/01/2003,Male,18-24,Undergraduate Studies,Aspiring households (earn from ₹1.25 lakhs to ₹5 lakhs annually),Unsure,7,6,7,7,5,5,6,6,6,6,6,6,7,6,7,6,2,4,5,6,5,5,4,3,7,5,5,2,5,3
09/06/2024 01:56:47,21/10/2001,Female,18-24,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Yes,3,5,5,7,4,3,7,4,4,3,4,4,6,4,5,5,5,4,2,7,5,6,4,5,7,6,7,6,7,4
11/06/2024 13:24:15,30/06/2001,Female,18-24,Postgraduate Studies,Destitute households (earn below ₹1.25 lakhs annually),Unsure,4,6,6,7,2,4,6,6,6,5,3,6,7,7,3,6,7,2,5,7,6,4,7,7,7,4,7,5,7,5
11/06/2024 16:28:09,11/06/2003,Male,25-34,Postgraduate Studies,Aspiring households (earn from ₹1.25 lakhs to ₹5 lakhs annually),No,4,4,5,3,3,5,4,4,5,4,3,5,3,6,6,2,6,4,6,3,3,4,4,2,2,2,5,4,3,6
12/06/2024 06:29:43,28/05/2001,Female,18-24,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Yes,4,5,6,4,5,5,6,3,4,5,6,6,7,5,7,5,2,5,3,7,6,7,6,6,7,5,7,7,7,7
13/06/2024 20:21:21,21/09/2001,Female,18-24,Postgraduate Studies,Aspiring households (earn from ₹1.25 lakhs to ₹5 lakhs annually),Unsure,7,7,7,7,5,7,7,7,7,7,4,7,7,7,7,7,4,7,7,7,7,5,5,5,7,7,7,7,7,7
16/06/2024 15:10:21,20/07/2001,Male,18-24,Undergraduate Studies,Aspiring households (earn from ₹1.25 lakhs to ₹5 lakhs annually),Unsure,6,5,7,6,4,6,7,7,7,4,6,6,7,5,2,6,1,3,7,5,7,6,3,3,6,7,6,7,6,7
